director_name,director_facebook_likes,actor_1_name,actor_1_facebook_likes,actor_2_name,actor_2_facebook_likes,actor_3_name,actor_3_facebook_likes,movie_title
Bibo Bergeron,10,Robert De Niro,22000,Martin Scorsese,17000,Angelina Jolie Pitt,11000,Shark TaleåÊ
Bill Condon,386,Loretta Devine,912,Jennifer Hudson,549,Anika Noni Rose,525,DreamgirlsåÊ
,,Adam Arkin,374,Brent Sexton,130,Damian Lewis,0,LifeåÊ            
F. Gary Gray,473,Dwayne Johnson,12000,Christina Milian,1000,Debi Mazar,680,Be CoolåÊ
Steven Spielberg,14000,Ayelet Zurer,745,Moritz Bleibtreu,486,Mathieu Amalric,412,MunichåÊ
Antoine Fuqua,845,Bruce Willis,13000,Tom Skerritt,1000,Cole Hauser,787,Tears of the SunåÊ
Robert Luketic,126,Tom Selleck,19000,Lisa Ann Walter,1000,Catherine O'Hara,925,KillersåÊ
Guy Ritchie,0,Henry Cavill,15000,Elizabeth Debicki,509,Christian Berkel,104,The Man from U.N.C.L.E.åÊ
James L. Brooks,274,Adam Sandler,11000,Paz Vega,964,Sarah Steele,138,SpanglishåÊ
Gil Kenan,27,Steve Buscemi,12000,Jon Heder,970,Catherine O'Hara,925,Monster HouseåÊ
Barry Levinson,272,Bruce Willis,13000,BrÌ_an F. O'Byrne,450,Azura Skye,193,BanditsåÊ
Jerry Zucker,109,Julia Ormond,919,Ben Cross,303,John Gielgud,249,First KnightåÊ
Andy Tennant,72,Bai Ling,582,Geoffrey Palmer,103,Randall Duk Kim,99,Anna and the KingåÊ
Tarsem Singh,763,Henry Cavill,15000,Daniel Sharman,1000,Steve Byers,222,ImmortalsåÊ
Florent-Emilio Siri,17,Jimmy Bennett,87000,Bruce Willis,13000,Ransford Doherty,759,HostageåÊ
Don Bluth,383,Matt Damon,13000,Janeane Garofalo,1000,Nathan Lane,886,Titan A.E.åÊ
Ron Shelton,41,Harrison Ford,11000,Bruce Greenwood,982,Lena Olin,541,Hollywood HomicideåÊ
Paul W.S. Anderson,545,Connie Nielsen,933,Sean Pertwee,722,Jason Scott Lee,533,SoldieråÊ
David Pastor,10,Christopher Meloni,3000,Kiernan Shipka,552,Lou Taylor Pucci,394,CarriersåÊ
Henry Selick,253,Brendan Fraser,3000,Bridget Fonda,889,Megan Mullally,637,MonkeyboneåÊ
John Moore,212,Dennis Quaid,2000,Tony Curran,845,Miranda Otto,568,Flight of the PhoenixåÊ
M. Night Shyamalan,0,Robin Wright,18000,Bruce Willis,13000,Michael Kelly,963,UnbreakableåÊ
Kyle Balda,22,Steve Carell,7000,Jon Hamm,4000,Steve Coogan,1000,MinionsåÊ
Zack Snyder,0,Jon Hamm,4000,Abbie Cornish,2000,Scott Glenn,826,Sucker PunchåÊ
Brian De Palma,0,Nicolas Cage,12000,Mike Starr,854,John Heard,697,Snake EyesåÊ
Barry Levinson,272,Peter Coyote,548,James Pickens Jr.,270,Huey Lewis,215,SphereåÊ
Clay Kaytis,6,Peter Dinklage,22000,Josh Gad,1000,Keegan-Michael Key,415,The Angry Birds MovieåÊ
Andy Tennant,72,Matthew McConaughey,11000,Ray Winstone,1000,Alexis Dziena,715,Fool's GoldåÊ
Judd Apatow,0,Adam Sandler,11000,RZA,561,Maude Apatow,130,Funny PeopleåÊ
Peter Berg,532,Jennifer Garner,3000,Frances Fisher,638,Tim McGraw,461,The KingdomåÊ
Adam McKay,285,Will Ferrell,8000,Leslie Bibb,1000,Gary Cole,989,Talladega Nights: The Ballad of Ricky BobbyåÊ
Steve Carr,41,Raven-SymonÌ©,1000,Jeffrey Jones,692,Kevin Pollak,574,Dr. Dolittle 2åÊ
Mel Gibson,0,Mhairi Calvey,906,Patrick McGoohan,466,James Robinson,403,BraveheartåÊ
Sam Mendes,0,Jake Gyllenhaal,15000,Brian Geraghty,383,James Morrison,210,JarheadåÊ
David Silverman,30,Albert Brooks,745,Yeardley Smith,440,Marcia Wallace,433,The Simpsons MovieåÊ
Frank Darabont,0,Martin Landau,940,Hal Holbrook,826,Jeffrey DeMunn,745,The MajesticåÊ
Renny Harlin,212,Sylvester Stallone,13000,Estella Warren,658,CristiÌÁn de la Fuente,462,DrivenåÊ
Jean-Jacques Annaud,218,David Gant,21,Jean-Claude Dreyfus,17,Oanh Nguyen,8,Two BrothersåÊ
M. Night Shyamalan,0,Bryce Dallas Howard,3000,Judy Greer,2000,William Hurt,882,The VillageåÊ
Betty Thomas,84,Oliver Platt,1000,Raven-SymonÌ©,1000,Peter Boyle,595,Doctor DolittleåÊ
M. Night Shyamalan,0,Rory Culkin,710,Merritt Wever,529,Cherry Jones,242,SignsåÊ
Andrew Adamson,80,Rupert Everett,692,Jennifer Saunders,309,Conrad Vernon,48,Shrek 2åÊ
John Lasseter,487,John Ratzenberger,1000,Cheech Marin,843,George Carlin,769,CarsåÊ
Garry Marshall,0,Julia Roberts,8000,Christopher Meloni,3000,Hector Elizondo,995,Runaway BrideåÊ
Rob Cohen,357,Vin Diesel,14000,Eve,223,Leila Arcieri,212,xXxåÊ
Paul Tibbitt,5,Tim Conway,870,Billy West,861,Eddie Deezen,726,The SpongeBob Movie: Sponge Out of WateråÊ
Ron Howard,2000,Lili Taylor,960,Delroy Lindo,848,Rene Russo,808,RansomåÊ
Quentin Tarantino,16000,Michael Fassbender,13000,Brad Pitt,11000,Christoph Waltz,11000,Inglourious BasterdsåÊ
Steven Spielberg,14000,Robin Williams,49000,Julia Roberts,8000,Bob Hoskins,5000,HookåÊ
Brett Ratner,420,Dwayne Johnson,12000,Rufus Sewell,3000,Ingrid BolsÌü Berdal,467,HerculesåÊ
Renny Harlin,212,Bruce Willis,13000,John Amos,982,Franco Nero,576,Die Hard 2åÊ
Clark Johnson,69,Jeremy Renner,10000,Josh Charles,1000,LL Cool J,1000,S.W.A.T.åÊ
,,Nicole Beharie,898,Katia Winter,372,Lyndie Greenwood,160,Sleepy HollowåÊ            
Cameron Crowe,488,Tom Cruise,10000,Ivana Milicevic,834,Noah Taylor,509,Vanilla SkyåÊ
M. Night Shyamalan,0,Bryce Dallas Howard,3000,Freddy RodrÌ_guez,579,Bob Balaban,559,Lady in the WateråÊ
Paul W.S. Anderson,545,Sanaa Lathan,886,Colin Salmon,766,Raoul Bova,727,AVP: Alien vs. PredatoråÊ
Betty Thomas,84,Amy Poehler,1000,Bridgit Mendler,1000,Jesse McCartney,1000,Alvin and the Chipmunks: The SqueakquelåÊ
Randall Wallace,130,Jon Hamm,4000,Marc Blucas,973,Chris Klein,841,We Were SoldiersåÊ
Antoine Fuqua,845,Gerard Butler,18000,Morgan Freeman,11000,Radha Mitchell,992,Olympus Has FallenåÊ
Jonathan Frakes,906,LeVar Burton,1000,Jonathan Frakes,906,Michael Dorn,748,Star Trek: InsurrectionåÊ
Jonathan Liebesman,473,Noel Fisher,833,Jim Parrack,697,Ramon Rodriguez,464,Battle Los AngelesåÊ
Tim Burton,13000,Steve Buscemi,12000,Alison Lohman,1000,Albert Finney,883,Big FishåÊ
Mike Nichols,0,David Hyde Pierce,443,Peter Gerety,277,Ron Rifkin,184,WolfåÊ
Steven Spielberg,14000,Jeremy Irvine,25000,Benedict Cumberbatch,19000,Eddie Marsan,979,War HorseåÊ
George Clooney,0,Bill Murray,13000,Matt Damon,13000,Bob Balaban,559,The Monuments MenåÊ
James Cameron,0,Michael Biehn,2000,Todd Graff,650,Mary Elizabeth Mastrantonio,638,The AbyssåÊ
Oliver Stone,0,Frank Langella,903,Austin Pendleton,592,John Buffalo Mailer,17,Wall Street: Money Never SleepsåÊ
Gary Shore,28,Dominic Cooper,3000,Sarah Gadon,692,Zach McGowan,423,Dracula UntoldåÊ
Edward Zwick,380,Denzel Washington,18000,Bruce Willis,13000,Mark Valley,774,The SiegeåÊ
Matthew Vaughn,905,Henry Cavill,15000,David Kelly,588,Nathaniel Parker,271,StarduståÊ
Jean-Jacques Annaud,218,Brad Pitt,11000,Mako,691,Victor Wong,400,Seven Years in TibetåÊ
Ron Howard,2000,Channing Tatum,17000,Clint Howard,1000,Chelcie Ross,244,The DilemmaåÊ
Joel Schumacher,541,Anthony Hopkins,12000,Brooke Smith,405,Garcelle Beauvais,384,Bad CompanyåÊ
Andrzej Bartkowiak,43,Dwayne Johnson,12000,Ben Daniels,585,Dexter Fletcher,452,DoomåÊ
Betty Thomas,84,Gary Cole,989,Phill Lewis,229,Tate Taylor,150,I SpyåÊ
MÌ´ns MÌ´rlind,24,Theo James,5000,Stephen Rea,327,Sandrine Holt,324,Underworld: AwakeningåÊ
Adam Shankman,163,James Martin Kelly,394,Shane Hartline,217,Celina Beach,66,Rock of AgesåÊ
Gregory Hoblit,40,Bruce Willis,13000,Cole Hauser,787,Rory Cochrane,407,Hart's WaråÊ
Gary McKendry,5,Jason Statham,26000,Robert De Niro,22000,Ben Mendelsohn,748,Killer EliteåÊ
John McTiernan,323,LL Cool J,1000,Chris Klein,841,Andrew Bryniarski,390,RollerballåÊ
Wych Kaosayananda,8,Talisa Soto,349,Sandrine Holt,324,Gregg Henry,298,Ballistic: Ecks vs. SeveråÊ
Mikael Salomon,13,Morgan Freeman,11000,Minnie Driver,893,Randy Quaid,695,Hard RainåÊ
Bobby Farrelly,101,Ron Howard,2000,Brandy Norwood,509,David Hyde Pierce,443,Osmosis JonesåÊ
Will Finn,6,Lea Michele,2000,Oliver Platt,1000,Jim Belushi,854,Legends of Oz: Dorothy's ReturnåÊ
Michael Mann,0,Chris Hemsworth,26000,Archie Kao,326,Brandon Molale,301,BlackhatåÊ
Kerry Conran,14,Angelina Jolie Pitt,11000,Laurence Olivier,1000,Bai Ling,582,Sky Captain and the World of TomorrowåÊ
Michael Caton-Jones,105,Charlotte Rampling,844,Indira Varma,729,Neil Maskell,246,Basic Instinct 2åÊ
Mikael HÌ´fstrÌ¦m,101,Sylvester Stallone,13000,50 Cent,1000,Matt Gerald,585,Escape PlanåÊ
Renny Harlin,212,Roxanne McKee,576,Luke Newberry,358,Gaia Weiss,182,The Legend of HerculesåÊ
Phil Alden Robinson,31,Morgan Freeman,11000,Bruce McGill,655,Philip Baker Hall,497,The Sum of All FearsåÊ
David Slade,171,Robert Pattinson,21000,Kristen Stewart,17000,Anna Kendrick,10000,The Twilight Saga: EclipseåÊ
Frank Oz,0,Robert De Niro,22000,Marlon Brando,10000,Gary Farmer,580,The ScoreåÊ
Pierre Coffin,275,Steve Carell,7000,Miranda Cosgrove,2000,Jack McBrayer,975,Despicable MeåÊ
Joseph Ruben,29,Vincent Pastore,584,Robert Blake,220,Aida Turturro,97,Money TrainåÊ
Seth MacFarlane,3000,Liam Neeson,14000,Morgan Freeman,11000,Seth MacFarlane,3000,Ted 2åÊ
Alejandro AmenÌÁbar,448,Max Minghella,614,Ashraf Barhom,451,Rupert Evans,334,AgoraåÊ
Kinka Usher,18,Janeane Garofalo,1000,Wes Studi,855,Eddie Izzard,776,Mystery MenåÊ
Bobby Farrelly,101,Jenna Fischer,966,Larry Joe Campbell,919,Stephen Merchant,681,Hall PassåÊ
Michael Mann,0,Al Pacino,14000,Rip Torn,826,Debi Mazar,680,The InsideråÊ
Craig Gillespie,44,Michael Raymond-James,788,Abraham Benrubi,562,Graham McTavish,531,The Finest HoursåÊ
Ridley Scott,0,Leonardo DiCaprio,29000,Simon McBurney,149,Michael Gaston,135,Body of LiesåÊ
Jay Roach,116,Steve Carell,7000,Stephanie Szostak,1000,Bruce Greenwood,982,Dinner for SchmucksåÊ
Timur Bekmambetov,335,Rufus Sewell,3000,Dominic Cooper,3000,Benjamin Walker,911,Abraham Lincoln: Vampire HunteråÊ
Jon Amiel,36,Will Patton,537,Kevin McNally,427,Maury Chaykin,232,EntrapmentåÊ
,,Hector Elizondo,995,Kaitlyn Dever,363,Nancy Travis,359,Last Man StandingåÊ            
Rob Bowman,38,Martin Landau,940,Mitch Pileggi,826,Jeffrey DeMunn,745,The X FilesåÊ
Doug Lefler,4,Colin Firth,14000,Nonso Anozie,394,Owen Teale,112,The Last LegionåÊ
Steven Spielberg,14000,Tom Hanks,15000,Vin Diesel,14000,Matt Damon,13000,Saving Private RyanåÊ
Scott Waugh,76,Rami Malek,3000,Dominic Cooper,3000,Ramon Rodriguez,464,Need for SpeedåÊ
Nancy Meyers,278,Judy Greer,2000,Lisa Edelstein,955,Loretta Devine,912,What Women WantåÊ
Chris Wedge,77,Goran Visnjic,1000,Stephen Root,939,Denis Leary,835,Ice AgeåÊ
Lawrence Kasdan,759,Morgan Freeman,11000,Michael O'Neill,599,Reece Thompson,354,DreamcatcheråÊ
Steven Spielberg,14000,Joseph Gordon-Levitt,23000,Hal Holbrook,826,Bruce McGill,655,LincolnåÊ
Lana Wachowski,0,Keanu Reeves,18000,Marcus Chong,145,Gloria Foster,99,The MatrixåÊ
Ron Howard,2000,Tom Hanks,15000,Miko Hughes,968,Kathleen Quinlan,552,Apollo 13åÊ
Paul Verhoeven,719,Ronny Cox,605,Rachel Ticotin,308,Marshall Bell,217,Total RecallåÊ
Michael Lembeck,54,Judge Reinhold,901,Aisha Tyler,857,Eric Lloyd,775,The Santa Clause 2åÊ
Tom Hooper,0,Hugh Jackman,20000,Eddie Redmayne,13000,Anne Hathaway,11000,Les MisÌ©rablesåÊ
Nora Ephron,0,Tom Hanks,15000,Jean Stapleton,793,Dave Chappelle,744,You've Got MailåÊ
Adam McKay,285,Will Ferrell,8000,Adam Scott,3000,Andrea Savage,105,Step BrothersåÊ
Martin Campbell,258,Anthony Hopkins,12000,Tony Amendola,174,Stuart Wilson,94,The Mask of ZorroåÊ
Todd Phillips,480,Robert Downey Jr.,21000,RZA,561,Matt Walsh,490,Due DateåÊ
Angelina Jolie Pitt,11000,Finn Wittrock,769,Jack O'Connell,698,Alex Russell,465,UnbrokenåÊ
Clint Eastwood,16000,Clint Eastwood,16000,Courtney B. Vance,495,William Devane,416,Space CowboysåÊ
Renny Harlin,212,Sylvester Stallone,13000,Leon,730,Janine Turner,369,CliffhangeråÊ
John Woo,610,Delroy Lindo,848,Samantha Mathis,517,Bob Gunton,461,Broken ArrowåÊ
Jon Turteltaub,226,Bruce Willis,13000,Lily Tomlin,718,Daniel von Bargen,577,The KidåÊ
Oliver Stone,0,Nicolas Cage,12000,Jay Hernandez,1000,Armando Riesco,625,World Trade CenteråÊ
Mike Newell,179,Julia Roberts,8000,Kirsten Dunst,4000,Marian Seldes,403,Mona Lisa SmileåÊ
Larry Charles,119,Sayed Badreya,600,Aasif Mandvi,346,Horatio Sanz,174,The DictatoråÊ
Stanley Kubrick,0,Tom Cruise,10000,Vinessa Shaw,580,Sydney Pollack,521,Eyes Wide ShutåÊ
Will Gluck,87,QuvenzhanÌ© Wallis,2000,Dorian Missick,1000,David Zayas,929,AnnieåÊ
Glenn Ficarra,43,Will Smith,10000,Adrian Martinez,806,Gerald McRaney,523,FocusåÊ
McG,368,Tom Hardy,27000,Abigail Spencer,1000,Warren Christie,520,This Means WaråÊ
David S. Goyer,687,Ryan Reynolds,16000,Natasha Lyonne,1000,John Michael Higgins,957,Blade: TrinityåÊ
John Milius,468,Lea Thompson,1000,Jennifer Grey,1000,William Smith,919,Red DawnåÊ
Mike Nichols,0,Maura Tierney,509,Adrian Lester,317,Paul Guilfoyle,210,Primary ColorsåÊ
Paul W.S. Anderson,545,Milla Jovovich,14000,Boris Kodjoe,1000,Bingbing Li,974,Resident Evil: RetributionåÊ
Paul W.S. Anderson,545,Jason Statham,26000,Max Ryan,872,Joan Allen,805,Death RaceåÊ
Renny Harlin,212,Melina Kanakaredes,394,Craig Bierko,380,Yvonne Zima,263,The Long Kiss GoodnightåÊ
Taylor Hackford,138,Pamela Reed,324,Alun Armstrong,192,Michael Kitchen,184,Proof of LifeåÊ
Jon Favreau,4000,Kristen Stewart,17000,Josh Hutcherson,14000,Jonah Bobo,539,Zathura: A Space AdventureåÊ
David Fincher,21000,Brad Pitt,11000,Meat Loaf,783,Eugenie Bondurant,637,Fight ClubåÊ
McG,368,Matthew McConaughey,11000,Kimberly Williams-Paisley,529,Brian Geraghty,383,We Are MarshallåÊ
,,Jason Flemyng,1000,James Nesbitt,773,Frances O'Connor,575,The MissingåÊ            
Michael Lehmann,36,Bruce Willis,13000,James Coburn,773,Richard E. Grant,554,Hudson HawkåÊ
Nora Ephron,0,Michael Rapaport,975,Michael Moore,909,Richard Schiff,506,Lucky NumbersåÊ
Stuart Beattie,72,Caitlin Stasey,623,Kevin Grevioux,593,Miranda Otto,568,"I, FrankensteinåÊ"
Roman Polanski,2000,Ian McNeice,268,Barney Clark,85,Tony Noble,25,Oliver TwiståÊ
Rob Bowman,38,Jennifer Garner,3000,Cary-Hiroyuki Tagawa,1000,Goran Visnjic,1000,ElektraåÊ
Frank Miller,436,Joseph Gordon-Levitt,23000,Bruce Willis,13000,Eva Green,6000,Sin City: A Dame to Kill ForåÊ
Sydney Pollack,521,Harrison Ford,11000,Kristin Scott Thomas,1000,Bill Cobbs,970,Random HeartsåÊ
Baltasar KormÌÁkur,175,Michael Kelly,963,Martin Henderson,580,Tom Goodman-Hill,221,EvereståÊ
Tom Tykwer,670,Michael Smiley,177,David Calder,27,Simon Chandler,16,Perfume: The Story of a MurdereråÊ
Jay Roach,116,Verne Troyer,645,Josh Zuckerman,522,Robert Wagner,481,Austin Powers in GoldmemberåÊ
David Bowers,42,Nicolas Cage,12000,Charlize Theron,9000,Dee Bradley Baker,668,Astro BoyåÊ
Steven Spielberg,14000,Wayne Knight,967,Ariana Richards,610,Bob Peck,191,Jurassic ParkåÊ
Lawrence Kasdan,759,Dennis Quaid,2000,Catherine O'Hara,925,Isabella Rossellini,812,Wyatt EarpåÊ
Phillip Noyce,176,Harrison Ford,11000,Dean Jones,913,Raymond Cruz,672,Clear and Present DangeråÊ
Daniel Lee,10,Si Won Choi,21,Peng Lin,18,Sung-jun Yoo,7,Dragon BladeåÊ
Keenen Ivory Wayans,322,Chazz Palminteri,979,Brittany Daniel,862,John Witherspoon,723,LittlemanåÊ
Jonathan Mostow,84,Matthew McConaughey,11000,Thomas Kretschmann,919,David Keith,563,U-571åÊ
Rob Reiner,0,Shawna Waldron,524,Samantha Mathis,517,Wendie Malick,452,The American PresidentåÊ
Marco Schnabel,12,Justin Timberlake,3000,Romany Malco,966,Verne Troyer,645,The Love GuruåÊ
Demian Lichtenstein,11,Jon Lovitz,11000,Bokeem Woodbine,904,Ice-T,867,3000 Miles to GracelandåÊ
Quentin Tarantino,16000,Craig Stark,46000,Jennifer Jason Leigh,1000,ZoÌÇ Bell,1000,The Hateful EightåÊ
Josh Gordon,8,Will Ferrell,8000,Amy Poehler,1000,Jon Heder,970,Blades of GloryåÊ
Tim Hill,25,Gary Cole,989,Elizabeth Perkins,664,Chelsea Handler,439,HopåÊ
Zack Snyder,0,Gerard Butler,18000,Michael Fassbender,13000,Vincent Regan,447,300åÊ
Jay Roach,116,Robert De Niro,22000,Blythe Danner,713,Teri Polo,708,Meet the FockersåÊ
David Frankel,64,Eric Dane,2000,Kathleen Turner,899,Haley Bennett,664,Marley & MeåÊ
Frank Darabont,0,Tom Hanks,15000,Jeffrey DeMunn,745,Michael Jeter,693,The Green MileåÊ
Walt Becker,12,Jill Hennessy,419,Tichina Arnold,330,Drew Sidora,311,Wild HogsåÊ
Mark Dindal,10,Catherine O'Hara,925,Fred Willard,729,Amy Sedaris,397,Chicken LittleåÊ
David Fincher,21000,Patrick Fugit,835,Sela Ward,812,Emily Ratajkowski,625,Gone GirlåÊ
Doug Liman,218,Matt Damon,13000,Josh Hamilton,147,Nicky NaudÌ©,73,The Bourne IdentityåÊ
Martin Campbell,258,Izabella Scorupco,394,Joe Don Baker,387,TchÌ©ky Karyo,345,GoldenEyeåÊ
Simon West,165,Daniel von Bargen,577,Timothy Hutton,501,Clarence Williams III,475,The General's DaughteråÊ
Peter Weir,608,Natascha McElhone,2000,Noah Emmerich,617,Peter Krause,576,The Truman ShowåÊ
Brenda Chapman,59,Martin Short,770,Aria Noelle Curzon,263,Eden Riegel,145,The Prince of EgyptåÊ
Steve Carr,41,Anjelica Huston,1000,Lisa Edelstein,955,Jeff Garlin,522,Daddy Day CareåÊ
Baltasar KormÌÁkur,175,Denzel Washington,18000,Patrick Fischler,497,Fred Ward,459,2 GunsåÊ
Lawrence Guterman,6,Carol Ann Susi,3000,Elizabeth Perkins,664,Miriam Margolyes,405,Cats & DogsåÊ
F. Gary Gray,473,Jason Statham,26000,Charlize Theron,9000,Jimmy Shubert,82,The Italian JobåÊ
Marc Lawrence,30,Dorian Missick,1000,Alicia Witt,976,Dana Ivey,268,Two Weeks NoticeåÊ
Eric Darnell,35,Sylvester Stallone,13000,Woody Allen,11000,Anne Bancroft,754,AntzåÊ
Peter Billingsley,0,Jon Favreau,4000,Kristin Davis,722,Tasha Smith,721,Couples RetreatåÊ
Tony Scott,12000,Tom Cruise,10000,Robert Duvall,3000,Randy Quaid,695,Days of ThunderåÊ
Adam Shankman,163,Taylor Lautner,12000,Tom Welling,3000,Alyson Stoner,2000,Cheaper by the Dozen 2åÊ
Wes Ball,47,Ki Hong Lee,988,Lili Taylor,960,Rosa Salazar,240,The Scorch TrialsåÊ
Ryan Murphy,708,James Franco,11000,Julia Roberts,8000,Billy Crudup,745,Eat Pray LoveåÊ
Brett Ratner,420,Nicolas Cage,12000,Don Cheadle,3000,Amber Valletta,627,The Family ManåÊ
Robert Schwentke,124,Bruce Willis,13000,Morgan Freeman,11000,Jaqueline Fleming,357,REDåÊ
Oliver Stone,0,Al Pacino,14000,Dennis Quaid,2000,LL Cool J,1000,Any Given SundayåÊ
Robert Redford,0,Scarlett Johansson,19000,Kristin Scott Thomas,1000,Jessalyn Gilsig,380,The Horse WhispereråÊ
Michael Mann,0,Tom Cruise,10000,Jada Pinkett Smith,851,Debi Mazar,680,CollateralåÊ
Chuck Russell,55,Dwayne Johnson,12000,Roger Rees,1000,Bernard Hill,416,The Scorpion KingåÊ
Jay Russell,13,Billy Burke,2000,Jay Hernandez,1000,Jacinda Barrett,579,Ladder 49åÊ
Christopher McQuarrie,188,Tom Cruise,10000,Robert Duvall,3000,David Oyelowo,1000,Jack ReacheråÊ
Renny Harlin,212,LL Cool J,1000,Michael Rapaport,975,Saffron Burrows,811,Deep Blue SeaåÊ
Kenny Ortega,197,Misha Gabriel Hamilton,433,Mekia Cox,208,Judith Hill,6,This Is ItåÊ
Steven Soderbergh,0,Matt Damon,13000,Monique Gabriela Curnen,240,Griffin Kane,175,ContagionåÊ
David McNally,18,Estella Warren,658,Dyan Cannon,257,Bill Hunter,226,Kangaroo JackåÊ
Henry Selick,253,Jennifer Saunders,309,Dawn French,229,John Hodgman,57,CoralineåÊ
M. Night Shyamalan,0,Zooey Deschanel,11000,Alan Ruck,946,Kristen Connolly,751,The HappeningåÊ
Tony Scott,12000,Denzel Washington,18000,Radha Mitchell,992,Giancarlo Giannini,451,Man on FireåÊ
Brian Robbins,48,Robert Downey Jr.,21000,Joel David Moore,936,Kristin Davis,722,The Shaggy DogåÊ
Todd Phillips,480,Snoop Dogg,881,Carmen Electra,869,Fred Williamson,767,Starsky & HutchåÊ
Brian Levant,32,Jim Belushi,854,Harvey Korman,628,Jake Lloyd,626,Jingle All the WayåÊ
Guillermo del Toro,0,James Babson,366,Rupert Evans,334,Brian Steele,160,HellboyåÊ
Steven Zaillian,234,Robert Duvall,3000,Kathleen Quinlan,552,Sydney Pollack,521,A Civil ActionåÊ
Chris Butler,28,Anna Kendrick,10000,Kodi Smit-McPhee,884,Elaine Stritch,586,ParaNormanåÊ
Michael Caton-Jones,105,J.K. Simmons,24000,Bruce Willis,13000,Sophie Okonedo,460,The JackalåÊ
John Woo,610,Ivana Milicevic,834,Joe Morton,780,Callum Rennie,716,PaycheckåÊ
Jon Avnet,50,Joe Mantegna,1000,Stockard Channing,944,Raymond Cruz,672,Up Close & PersonalåÊ
Sam Fell,18,Emma Watson,9000,Matthew Broderick,2000,Frank Langella,903,The Tale of DespereauxåÊ
,,Bianca Kajlich,732,Oliver Hudson,607,Adhir Kalyan,402,Rules of EngagementåÊ            
Kevin Donovan,11,Romany Malco,966,Debi Mazar,680,Ritchie Coster,107,The TuxedoåÊ
Geoff Murphy,14,Peter Greene,789,Brenda Bakke,520,Patrick Kilpatrick,488,Under Siege 2: Dark TerritoryåÊ
Kenneth Branagh,0,Colm Feore,539,Nonso Anozie,394,Gemma Chan,288,Jack Ryan: Shadow RecruitåÊ
David O. Russell,737,Jennifer Lawrence,34000,Robert De Niro,22000,Bradley Cooper,14000,JoyåÊ
Babak Najafi,24,Gerard Butler,18000,Radha Mitchell,992,Julian Kostov,864,London Has FallenåÊ
Jean-Pierre Jeunet,0,Gary Dourdan,1000,Michael Wincott,720,Raymond Cruz,672,Alien: ResurrectionåÊ
Antoine Fuqua,845,Tate Donovan,650,Ned Beatty,467,Louis Ferreira,295,ShooteråÊ
Graham Annable,7,Isaac Hempstead Wright,874,Dee Bradley Baker,668,Tracy Morgan,642,The BoxtrollsåÊ
Griffin Dunne,165,Goran Visnjic,1000,Dianne Wiest,967,Stockard Channing,944,Practical MagicåÊ
Phil Lord,97,Morgan Freeman,11000,Will Ferrell,8000,Alison Brie,2000,The Lego MovieåÊ
John Pasquin,11,Eileen Brennan,1000,Diedrich Bader,759,Treat Williams,642,Miss Congeniality 2: Armed and FabulousåÊ
Rob Bowman,38,Christian Bale,23000,Gerard Butler,18000,Matthew McConaughey,11000,Reign of FireåÊ
Ruben Fleischer,181,Ryan Gosling,33000,Brandon Molale,301,Wade Williams,300,Gangster SquadåÊ
Harold Ramis,11000,Olivia Wilde,10000,Oliver Platt,1000,Xander Berkeley,485,Year OneåÊ
Clint Eastwood,16000,Matt Damon,13000,Morgan Freeman,11000,Leleti Khumalo,204,InvictusåÊ
Kevin Macdonald,162,Robin Wright,18000,Harry Lennix,748,Michael Weston,379,State of PlayåÊ
Tony Gilroy,209,Julia Roberts,8000,Tom Wilkinson,1000,Denis O'Hare,896,DuplicityåÊ
Donald Petrie,80,Steven Anthony Lawrence,1000,Ray Walston,417,Michael Lerner,230,My Favorite MartianåÊ
Clark Johnson,69,Blair Brown,310,David Rasche,219,Martin Donovan,206,The SentinelåÊ
Jorge Blanco,2,Dwayne Johnson,12000,Gary Oldman,10000,James Corden,480,Planet 51åÊ
Stuart Baird,53,Tom Hardy,27000,LeVar Burton,1000,Jonathan Frakes,906,Star Trek: NemesisåÊ
Joel Coen,0,Cedric the Entertainer,436,Paul Adelstein,399,Julia Duffy,210,Intolerable CrueltyåÊ
Robert Lorenz,39,Clint Eastwood,16000,Ed Lauter,897,Bob Gunton,461,Trouble with the CurveåÊ
Martin Campbell,258,Bojana Novakovic,2000,Ray Winstone,1000,Denis O'Hare,896,Edge of DarknessåÊ
Peter Hyams,0,John Kapelos,510,Penelope Ann Miller,344,Chi Muoi Lo,308,The RelicåÊ
Harold Ramis,11000,Robert De Niro,22000,Cathy Moriarty,394,Joe Viterelli,236,Analyze ThatåÊ
Jon Avnet,50,Robert De Niro,22000,Al Pacino,14000,50 Cent,1000,Righteous KillåÊ
Harold Becker,17,Bruce Willis,13000,Miko Hughes,968,Carrie Preston,652,Mercury RisingåÊ
Joe Wright,456,Robert Downey Jr.,21000,Stephen Root,939,Rachael Harris,569,The SoloiståÊ
Robert Redford,0,Matt Damon,13000,Will Smith,10000,Charlize Theron,9000,The Legend of Bagger VanceåÊ
Cameron Crowe,488,Philip Seymour Hoffman,22000,Zooey Deschanel,11000,Michael Angarano,947,Almost FamousåÊ
Tim Hill,25,Bill Murray,13000,Roger Rees,1000,Ben Falcone,265,Garfield 2åÊ
Lee Tamahori,93,Sunny Mabrey,287,Nona Gaye,233,Xzibit,218,xXx: State of the UnionåÊ
