movie_title,num_critic_for_reviews,num_user_for_reviews
InkheartåÊ,161,110
The SpiritåÊ,223,290
MortdecaiåÊ,181,188
In the Name of the King: A Dungeon Siege TaleåÊ,140,368
Beyond BordersåÊ,54,156
Xi you ji zhi: Sun Wukong san da Baigu JingåÊ,14,9
The Great RaidåÊ,81,183
DeadpoolåÊ,579,1058
Holy ManåÊ,56,88
American SniperåÊ,490,916
GoosebumpsåÊ,218,154
"Sabrina, the Teenage WitchåÊ            ",20,94
Just Like HeavenåÊ,142,263
The Flintstones in Viva Rock VegasåÊ,57,85
Rambo IIIåÊ,84,171
LeatherheadsåÊ,186,120
The Ridiculous 6åÊ,53,143
Did You Hear About the Morgans?åÊ,133,121
The InternshipåÊ,246,281
Resident Evil: AfterlifeåÊ,253,410
Red TailsåÊ,144,273
Sex and the CityåÊ            ,46,238
The Devil's AdvocateåÊ,117,431
That's My BoyåÊ,157,198
DragonHeartåÊ,60,139
After the SunsetåÊ,117,147
Ghost Rider: Spirit of VengeanceåÊ,287,331
Captain Corelli's MandolinåÊ,96,220
Anger ManagementåÊ            ,26,54
The PacifieråÊ,125,225
Walking TallåÊ,117,221
Forrest GumpåÊ,149,1398
Alvin and the ChipmunksåÊ,131,146
Meet the ParentsåÊ,150,507
PocahontasåÊ,92,216
SupermanåÊ,169,497
The Nutty ProfessoråÊ,57,99
HitchåÊ,171,372
George of the JungleåÊ,53,103
American WeddingåÊ,153,332
Captain PhillipsåÊ,491,527
Date NightåÊ,247,207
CasperåÊ,26,92
The EqualizeråÊ,292,436
Maid in ManhattanåÊ,114,242
Crimson TideåÊ,82,194
The Pursuit of HappynessåÊ,201,611
FlightplanåÊ,231,600
DisclosureåÊ,55,95
City of AngelsåÊ,110,322
Kill Bill: Vol. 1åÊ,354,2105
BowfingeråÊ,140,358
Stargate SG-1åÊ            ,77,181
Kill Bill: Vol. 2åÊ,304,935
Tango & CashåÊ,45,149
Death Becomes HeråÊ,49,173
Shanghai NoonåÊ,146,293
Executive DecisionåÊ,60,144
Mr. Popper's PenguinsåÊ,189,108
The Forbidden KingdomåÊ,206,279
Free BirdsåÊ,118,73
Alien 3åÊ,210,776
EvitaåÊ,76,194
RoninåÊ,149,572
The Ghost and the DarknessåÊ,62,155
PaddingtonåÊ,224,174
The WatchåÊ,265,207
The HuntedåÊ,135,321
InstinctåÊ,100,232
Stuck on YouåÊ,123,154
Semi-ProåÊ,164,119
The Pirates! Band of MisfitsåÊ,238,101
ChangelingåÊ,264,387
Chain ReactionåÊ,47,95
The FanåÊ,50,89
The Phantom of the OperaåÊ,153,2047
Elizabeth: The Golden AgeåÊ,202,216
Ì on FluxåÊ,178,532
Gods and GeneralsåÊ,84,497
TurbulenceåÊ,44,84
Imagine ThatåÊ,93,39
Muppets Most WantedåÊ,277,110
ThunderbirdsåÊ,76,229
BurlesqueåÊ,197,222
A Very Long EngagementåÊ,186,239
LolitaåÊ,103,207
Eye See YouåÊ,66,142
Blade IIåÊ,224,559
Seven PoundsåÊ,202,599
Bullet to the HeadåÊ,279,131
The Godfather: Part IIIåÊ,110,545
ElizabethtownåÊ,190,495
"You, Me and DupreeåÊ",136,195
Superman IIåÊ,121,269
GigliåÊ,131,418
All the King's MenåÊ,127,178
ShaftåÊ,160,301
AnastasiaåÊ,78,191
Moulin Rouge!åÊ,209,2319
Domestic DisturbanceåÊ,98,190
Black MassåÊ,391,289
Flags of Our FathersåÊ,279,415
Law Abiding CitizenåÊ,216,429
GrindhouseåÊ,250,532
BelovedåÊ,78,207
Lucky YouåÊ,106,63
Catch Me If You CanåÊ,194,667
Zero Dark ThirtyåÊ,558,640
The Break-UpåÊ,183,483
Mamma Mia!åÊ,238,611
Valentine's DayåÊ,186,211
The Dukes of HazzardåÊ,144,612
The Thin Red LineåÊ,156,1448
The Change-UpåÊ,215,149
Man on the MoonåÊ,140,549
CasinoåÊ,133,533
From Paris with LoveåÊ,203,211
Bulletproof MonkåÊ,127,180
"Me, Myself & IreneåÊ",155,481
BarnyardåÊ,98,155
Deck the HallsåÊ,71,110
The Twilight Saga: New MoonåÊ,299,919
ShrekåÊ,212,945
The Adjustment BureauåÊ,413,407
Robin Hood: Prince of ThievesåÊ,67,322
Jerry MaguireåÊ,109,318
TedåÊ,457,623
As Good as It GetsåÊ,156,470
Patch AdamsåÊ,55,375
Anchorman 2: The Legend ContinuesåÊ,272,346
Mr. DeedsåÊ,117,309
Super 8åÊ,539,849
Erin BrockovichåÊ,169,498
How to Lose a Guy in 10 DaysåÊ,140,357
22 Jump StreetåÊ,330,322
Interview with the Vampire: The Vampire ChroniclesåÊ,120,406
Yes ManåÊ,190,243
Central IntelligenceåÊ,177,110
StepmomåÊ,65,252
Daddy's HomeåÊ,145,130
Into the WoodsåÊ,321,779
Inside ManåÊ,230,646
PaybackåÊ,143,394
CongoåÊ,55,147
We Bought a ZooåÊ,257,199
KnowingåÊ,279,791
Failure to LaunchåÊ,143,242
The Ring TwoåÊ,196,560
"Crazy, Stupid, Love.åÊ",310,292
GarfieldåÊ,116,232
Christmas with the KranksåÊ,105,209
MoneyballåÊ,419,312
OutbreakåÊ,64,130
Non-StopåÊ,359,384
Race to Witch MountainåÊ,166,110
V for VendettaåÊ,525,2042
Shanghai KnightsåÊ,165,192
UnforgottenåÊ            ,2,9
Curious GeorgeåÊ,87,118
Herbie Fully LoadedåÊ,117,168
Don't Say a WordåÊ,113,248
Hansel & Gretel: Witch HuntersåÊ,349,304
UnfaithfulåÊ,152,533
I Am Number FouråÊ,288,329
SyrianaåÊ,358,625
13 HoursåÊ,204,219
The Book of LifeåÊ,156,102
FirewallåÊ,171,306
Absolute PoweråÊ,76,142
G.I. JaneåÊ,97,142
The GameåÊ,157,506
Silent HillåÊ,267,1740
The ReplacementsåÊ,118,261
American ReunionåÊ,291,181
The NegotiatoråÊ,68,279
Into the StormåÊ,228,210
Beverly Hills Cop IIIåÊ,36,114
Gremlins 2: The New BatchåÊ,105,148
The JudgeåÊ,276,275
The PeacemakeråÊ,93,156
Resident Evil: ApocalypseåÊ,191,672
Bridget Jones: The Edge of ReasonåÊ,143,259
Out of TimeåÊ,124,157
On Deadly GroundåÊ,47,140
The Adventures of Sharkboy and Lavagirl 3-DåÊ,66,177
The BeachåÊ,118,548
Raising HelenåÊ,93,106
Ninja AssassinåÊ,235,194
For Love of the GameåÊ,113,226
A Touch of FroståÊ            ,14,33
StripteaseåÊ,51,118
MarmadukeåÊ,98,65
HereafteråÊ,315,323
Murder by NumbersåÊ,136,302
AssassinsåÊ,61,84
Hannibal RisingåÊ,209,392
The Story of UsåÊ,99,150
The HoståÊ,298,347
BasicåÊ,131,286
Blood WorkåÊ,146,260
The InternationalåÊ,245,190
Escape from L.A.åÊ,104,227
TwistedåÊ            ,4,22
The Iron GiantåÊ,162,514
The Life Aquatic with Steve ZissouåÊ,259,632
Free State of JonesåÊ,79,47
The Life of David GaleåÊ,141,420
Man of the HouseåÊ,59,94
Run All NightåÊ,236,205
Eastern PromisesåÊ,356,398
Into the BlueåÊ,120,208
The Messenger: The Story of Joan of ArcåÊ,111,390
Your HighnessåÊ,208,274
Dream HouseåÊ,174,137
Mad CityåÊ,59,73
Baby's Day OutåÊ,22,78
The Scarlet LetteråÊ,34,90
Fair GameåÊ,214,127
DefianceåÊ            ,28,149
DominoåÊ,186,374
JadeåÊ,50,70
GameråÊ,180,245
Beautiful CreaturesåÊ,231,258
Death to SmoochyåÊ,105,341
Zoolander 2åÊ,226,150
The Big BounceåÊ,75,93
What Planet Are You From?åÊ,82,91
Drive AngryåÊ,296,211
Street Fighter: The Legend of Chun-LiåÊ,103,179
The OneåÊ,98,294
OutlanderåÊ            ,30,148
The Adventures of Ford FairlaneåÊ,48,113
Pirate RadioåÊ,195,209
TrafficåÊ,223,867
Indiana Jones and the Last CrusadeåÊ,149,477
Anna KareninaåÊ,324,226
ChappieåÊ,371,627
The Bone CollectoråÊ,75,397
Panic RoomåÊ,233,850
The Tooth FairyåÊ,32,32
Three KingsåÊ,150,560
Child 44åÊ,172,185
Rat RaceåÊ,103,497
K-PAXåÊ,140,537
Kate & LeopoldåÊ,125,316
BedazzledåÊ,125,254
The Cotton ClubåÊ,36,84
3:10 to YumaåÊ,295,560
Taken 3åÊ,222,323
Out of SightåÊ,158,307
The Cable GuyåÊ,72,345
EarthåÊ,34,55
Dick TracyåÊ,72,164
The Thomas Crown AffairåÊ,152,419
Riding in Cars with BoysåÊ,89,210
First BloodåÊ,145,376
SolarisåÊ,144,236
Happily N'Ever AfteråÊ,93,71
Mary ReillyåÊ,46,97
My Best Friend's WeddingåÊ,84,169
America's SweetheartsåÊ,142,343
InsomniaåÊ,185,651
Star Trek: First ContactåÊ,143,286
Jonah HexåÊ,178,176
Courage Under FireåÊ,65,107
Liar LiaråÊ,73,243
The InfiltratoråÊ,72,29
InchonåÊ,10,16
The FlintstonesåÊ,35,85
Taken 2åÊ,358,461
Scary Movie 3åÊ,151,347
Miss CongenialityåÊ,140,370
Journey to the Center of the EarthåÊ,201,212
The Princess Diaries 2: Royal EngagementåÊ,77,152
The Pelican BriefåÊ,43,89
The ClientåÊ,39,94
The Bucket ListåÊ,207,310
Patriot GamesåÊ,47,137
Monster-in-LawåÊ,132,228
PrisonersåÊ,454,620
Training DayåÊ,109,633
Galaxy QueståÊ,213,609
Scary Movie 2åÊ,127,548
The MuppetsåÊ,398,252
BladeåÊ,184,582
Coach CarteråÊ,127,209
Changing LanesåÊ,167,350
AnacondaåÊ,119,271
Coyote UglyåÊ,155,379
Love ActuallyåÊ,218,1004
A Bug's LifeåÊ,117,317
From HellåÊ,208,541
The SpecialiståÊ,38,116
Tin CupåÊ,48,73
"Yours, Mine and OursåÊ",8,61
Kicking & ScreamingåÊ,94,118
The Hitchhiker's Guide to the GalaxyåÊ,276,1053
Fat AlbertåÊ,59,91
Resident Evil: ExtinctionåÊ,216,348
BlendedåÊ,173,184
Last HolidayåÊ,99,116
The River WildåÊ,42,69
The Indian in the CupboardåÊ,25,47
SavagesåÊ,339,269
CellularåÊ,127,355
Johnny EnglishåÊ,122,285
The Ant BullyåÊ,105,70
DuneåÊ,144,569
Across the UniverseåÊ,156,524
Revolutionary RoadåÊ,323,414
16 BlocksåÊ,199,305
Babylon A.D.åÊ,164,214
The Glimmer ManåÊ,39,80
MultiplicityåÊ,43,81
Aliens in the AtticåÊ,82,55
The PledgeåÊ,150,531
The ProducersåÊ,168,409
DreddåÊ,432,588
The PhantomåÊ,60,148
All the Pretty HorsesåÊ,85,183
NixonåÊ,83,161
The Ghost WriteråÊ,343,349
Deep RisingåÊ,106,273
Miracle at St. AnnaåÊ,158,182
Curse of the Golden FloweråÊ,189,229
Bangkok DangerousåÊ,125,154
Big TroubleåÊ,87,186
Love in the Time of CholeraåÊ,115,115
The ReturnedåÊ            ,23,47
Shadow ConspiracyåÊ,24,41
Johnny English RebornåÊ,152,142
Foodfight!åÊ,12,66
ArgoåÊ,656,695
The FugitiveåÊ,119,270
The Bounty HunteråÊ,161,135
SleepersåÊ,73,259
Rambo: First Blood Part IIåÊ,96,217
The JuroråÊ,28,62
PinocchioåÊ,105,147
Heaven's GateåÊ,102,189
Underworld: EvolutionåÊ,206,502
Victor FrankensteinåÊ,159,91
Finding ForresteråÊ,137,297
28 DaysåÊ,116,194
UnleashedåÊ,177,303
The Sweetest ThingåÊ,99,403
The FirmåÊ,56,142
Charlie St. CloudåÊ,117,75
The MechanicåÊ,252,181
21 Jump StreetåÊ,375,345
Notting HillåÊ,150,602
Chicken RunåÊ,187,358
Along Came PollyåÊ,108,268
BoomerangåÊ,21,41
The HeatåÊ,270,380
CleopatraåÊ,72,192
Here Comes the BoomåÊ,154,112
High CrimesåÊ,114,175
The Mirror Has Two FacesåÊ,27,71
The Mothman PropheciesåÊ,166,460
BrÌ_noåÊ,288,396
Licence to KillåÊ,117,317
Red Riding HoodåÊ,291,283
15 MinutesåÊ,151,265
Super Mario Bros.åÊ,36,290
Lord of WaråÊ,168,437
HeroåÊ,283,841
One for the MoneyåÊ,127,169
The InterviewåÊ,293,835
The Warrior's WayåÊ,95,102
McHale's NavyåÊ            ,4,18
MicmacsåÊ,213,71
8 MileåÊ,119,564
Animal Kingdom: Let's go ApeåÊ,9,5
A Knight's TaleåÊ,167,658
The MedallionåÊ,98,132
The Sixth SenseåÊ,234,2073
Man on a LedgeåÊ,258,153
The Big YearåÊ,108,125
The Karate KidåÊ,81,235
American HustleåÊ,538,751
The ProposalåÊ,224,273
Double JeopardyåÊ,129,336
Back to the Future Part IIåÊ,125,327
LucyåÊ,433,918
Fifty Shades of GreyåÊ,362,1360
Spy Kids 3-D: Game OveråÊ,93,188
A Time to KillåÊ,71,236
Cheaper by the DozenåÊ,104,288
Lone SurvivoråÊ,319,420
A League of Their OwnåÊ,41,166
The Conjuring 2åÊ,300,279
The Social NetworkåÊ,556,696
He's Just Not That Into YouåÊ,161,203
Scary Movie 4åÊ,151,410
Scream 3åÊ,212,734
Back to the Future Part IIIåÊ,111,263
Get HardåÊ,173,144
Bram Stoker's DraculaåÊ,181,654
Julie & JuliaåÊ,252,277
42åÊ,216,200
The Talented Mr. RipleyåÊ,203,696
Dumb and Dumber ToåÊ,218,285
Eight BelowåÊ,118,263
The InternåÊ,241,304
Ride Along 2åÊ,119,58
The Last of the MohicansåÊ,89,382
RayåÊ,209,433
Sin CityåÊ,374,1732
Vantage PointåÊ,235,422
"I Love You, ManåÊ",215,215
Shallow HalåÊ,109,426
JFKåÊ,125,442
Big Momma's House 2åÊ,65,82
The MexicanåÊ,125,344
UnbrokenåÊ,322,351
17 AgainåÊ,191,185
The Other WomanåÊ,191,189
The Final DestinationåÊ,221,290
Bridge of SpiesåÊ,459,355
Behind Enemy LinesåÊ,131,411
Get Him to the GreekåÊ,222,197
Shall We DanceåÊ,118,211
Small SoldiersåÊ,100,139
SpawnåÊ,70,209
The Count of Monte CristoåÊ,138,544
The Lincoln LawyeråÊ,274,203
UnknownåÊ,349,332
The PrestigeåÊ,341,1100
Horrible Bosses 2åÊ,196,187
Escape from Planet EarthåÊ,83,44
ApocalyptoåÊ,283,1043
The Living DaylightsåÊ,105,271
PredatorsåÊ,351,619
Legal EaglesåÊ,16,34
Secret WindowåÊ,195,531
The Lake HouseåÊ,175,548
The Skeleton KeyåÊ,193,371
The Odd Life of Timothy GreenåÊ,169,110
Made of HonoråÊ,128,101
Jersey BoysåÊ,249,190
The RainmakeråÊ,91,141
GothikaåÊ,207,376
AmistadåÊ,77,227
Medicine ManåÊ,25,56
Aliens vs. Predator: RequiemåÊ,211,998
Riå¢hie Riå¢håÊ,19,39
Autumn in New YorkåÊ,101,180
Music and LyricsåÊ,175,291
PaulåÊ,342,334
The Guilt TripåÊ,147,103
Scream 4åÊ,420,518
8MMåÊ,138,587
The DoorsåÊ,82,209
Sex TapeåÊ,201,158
Hanging UpåÊ,82,130
Final Destination 5åÊ,277,227
Mickey Blue EyesåÊ,90,117
Pay It ForwardåÊ,157,660
Fever PitchåÊ,124,208
ArthuråÊ            ,3,43
Drillbit TayloråÊ,146,101
A Million Ways to Die in the WeståÊ,303,416
The ShadowåÊ,70,146
Extremely Loud & Incredibly CloseåÊ,283,341
Morning GloryåÊ,212,156
Get Rich or Die Tryin'åÊ,98,284
The Art of WaråÊ,110,167
RentåÊ,146,754
Bless the ChildåÊ,100,188
The Out-of-TownersåÊ,62,105
The Island of Dr. MoreauåÊ,70,164
The MusketeeråÊ,107,291
The Other Boleyn GirlåÊ,169,252
Sweet NovemberåÊ,94,274
The ReapingåÊ,190,178
Mean StreetsåÊ,112,223
Renaissance ManåÊ,12,61
ColombianaåÊ,201,203
The Magic Sword: Quest for CamelotåÊ,34,67
City by the SeaåÊ,104,166
At First SightåÊ,55,106
TorqueåÊ,86,207
City HallåÊ,50,60
ShowgirlsåÊ,181,450
Marie AntoinetteåÊ,260,619
Kiss of DeathåÊ,40,60
Get CarteråÊ,102,284
The ImpossibleåÊ,371,322
IshtaråÊ,49,126
Fantastic Mr. FoxåÊ,335,245
Life or Something Like ItåÊ,86,128
Memoirs of an Invisible ManåÊ,40,66
AmÌ©lieåÊ,242,1314
New York MinuteåÊ,70,111
AlfieåÊ,135,146
Big MiracleåÊ,125,66
The Deep End of the OceanåÊ,54,111
FeardotcomåÊ,104,388
Cirque du Freak: The Vampire's AssistantåÊ,157,157
Victor FrankensteinåÊ,159,91
DuplexåÊ,78,147
Soul MenåÊ,88,25
Raise the TitanicåÊ,32,70
Universal Soldier: The ReturnåÊ,75,162
PandorumåÊ,219,310
ImpostoråÊ,83,207
Extreme OpsåÊ,53,82
Just VisitingåÊ,61,98
SunshineåÊ,308,801
A Thousand WordsåÊ,70,93
DelgoåÊ,41,26
The GunmanåÊ,224,110
Alex Rider: Operation StormbreakeråÊ,66,187
DisturbiaåÊ,253,491
HackersåÊ,79,223
The Hunting PartyåÊ,94,90
The Hudsucker ProxyåÊ,77,211
The WarlordsåÊ,106,61
Nomad: The WarrioråÊ,30,32
SnowpierceråÊ,488,514
A Monster in ParisåÊ,63,40
The Last ShotåÊ,42,39
The CrowåÊ,118,545
Baahubali: The BeginningåÊ,44,410
The Time Traveler's WifeåÊ,214,234
Because I Said SoåÊ,110,184
The Fast and the FuriousåÊ,187,988
FrankenweenieåÊ,370,165
SerenityåÊ,276,1594
Against the RopesåÊ,76,50
Superman IIIåÊ,95,224
Grudge MatchåÊ,211,115
Red CliffåÊ,160,105
Sweet Home AlabamaåÊ,97,392
The Ugly TruthåÊ,174,169
Sgt. BilkoåÊ,23,73
Spy Kids 2: Island of Lost DreamsåÊ,103,107
Star Trek: GenerationsåÊ,98,249
The GrandmasteråÊ,273,111
Water for ElephantsåÊ,279,260
3rd Rock from the SunåÊ            ,22,86
Dragon Nest: Warriors' DawnåÊ,4,18
The HurricaneåÊ,65,265
EnoughåÊ,98,234
HeartbreakersåÊ,116,216
Paul Blart: Mall Cop 2åÊ,76,123
Angel EyesåÊ,106,180
Joe SomebodyåÊ,55,85
The Ninth GateåÊ,172,638
Extreme MeasuresåÊ,47,75
Rock StaråÊ,107,191
PreciousåÊ,323,275
White SquallåÊ,37,89
The ThingåÊ,297,911
RiddickåÊ,302,343
SwitchbackåÊ,38,81
Texas RangersåÊ,31,67
City of EmberåÊ,118,102
The MasteråÊ,546,405
Virgin TerritoryåÊ,21,28
The ExpressåÊ,86,45
The 5th WaveåÊ,194,266
CreedåÊ,437,362
The TownåÊ,378,420
What to Expect When You're ExpectingåÊ,170,89
Burn After ReadingåÊ,341,545
Nim's IslandåÊ,139,110
RushåÊ,393,475
MagnoliaåÊ,224,1437
Cop OutåÊ,203,176
How to Be SingleåÊ,148,83
Dolphin TaleåÊ,131,86
TwilightåÊ,350,1535
John QåÊ,129,394
Blue StreakåÊ,40,144
We're the MillersåÊ,289,301
Obitaemyy ostrovåÊ,14,21
BreakdownåÊ,72,218
Never Say Never AgainåÊ,89,214
Hot Tub Time MachineåÊ,265,243
Dolphin Tale 2åÊ,54,33
Reindeer GamesåÊ,126,212
A Man ApartåÊ,110,135
AlohaåÊ,138,172
Ghosts of MississippiåÊ,31,57
Snow Falling on CedarsåÊ,95,194
The RiteåÊ,267,197
GattacaåÊ,175,641
Isn't She GreatåÊ,63,64
Space ChimpsåÊ,85,45
Head of StateåÊ,44,80
The HangoveråÊ,334,626
Ip Man 3åÊ,78,45
Austin Powers: The Spy Who Shagged MeåÊ,199,784
BatmanåÊ,186,817
There Be DragonsåÊ,77,53
Lethal Weapon 3åÊ,68,136
The Blind SideåÊ,261,420
Rush HouråÊ            ,5,30
Spy KidsåÊ,122,205
Horrible BossesåÊ,340,387
True GritåÊ,493,724
The Devil Wears PradaåÊ,208,631
Star Trek: The Motion PictureåÊ,134,405
Identity ThiefåÊ,275,232
Cape FearåÊ,120,261
21åÊ,144,278
TrainwreckåÊ,332,309
Guess WhoåÊ,104,160
The English PatientåÊ,116,457
L.A. ConfidentialåÊ,177,625
Sky HighåÊ,127,217
In & OutåÊ,83,138
SpeciesåÊ,97,140
A Nightmare on Elm StreetåÊ,256,668
The CellåÊ,225,677
The Man in the Iron MaskåÊ,83,244
SecretariatåÊ,160,136
TMNTåÊ,191,211
RadioåÊ,74,196
Friends with BenefitsåÊ,238,194
Neighbors 2: Sorority RisingåÊ,177,111
Saving Mr. BanksåÊ,405,306
Malcolm XåÊ,61,156
This Is 40åÊ,285,248
Old DogsåÊ,124,120
Underworld: Rise of the LycansåÊ,164,169
License to WedåÊ,120,119
The BenchwarmersåÊ,90,209
Must Love DogsåÊ,120,262
Donnie BrascoåÊ,117,234
Resident EvilåÊ,226,1138
PoltergeiståÊ,223,321
The LadykillersåÊ,193,400
Max PayneåÊ,228,398
In TimeåÊ,360,463
The Back-up PlanåÊ,148,97
Something BorrowedåÊ,128,153
Hit the FlooråÊ            ,3,11
Black KnightåÊ,46,164
The Bad News BearsåÊ,40,91
Street FighteråÊ,63,282
The PianiståÊ,193,761
From HellåÊ,208,541
The Nativity StoryåÊ,122,203
House of WaxåÊ,228,576
CloseråÊ,212,903
J. EdgaråÊ,392,279
MirrorsåÊ,208,232
Queen of the DamnedåÊ,137,695
Predator 2åÊ,119,291
UntraceableåÊ,195,245
Blast from the PaståÊ,95,239
Flash GordonåÊ,100,247
Jersey GirlåÊ,164,358
Alex CrossåÊ,211,151
Midnight in the Garden of Good and EvilåÊ,91,216
HeiståÊ,44,57
Nanny McPhee ReturnsåÊ,97,59
HoffaåÊ,32,68
The X Files: I Want to BelieveåÊ,270,492
Ella EnchantedåÊ,89,244
ConcussionåÊ,219,138
AbductionåÊ,180,173
ValiantåÊ,93,80
Wonder BoysåÊ,173,335
Superhero MovieåÊ,121,173
Broken CityåÊ,298,134
CursedåÊ,158,325
Premium RushåÊ,248,178
Hot PursuitåÊ,155,118
The Four FeathersåÊ,105,215
ParkeråÊ,224,141
WimbledonåÊ,129,173
Furry VengeanceåÊ,101,84
BaitåÊ,145,82
KrullåÊ,57,178
Lions for LambsåÊ,227,298
Flight of the IntruderåÊ,13,39
Walk Hard: The Dewey Cox StoryåÊ,171,200
The Shipping NewsåÊ,119,208
American OutlawsåÊ,44,162
The Young VictoriaåÊ,188,100
WhiteoutåÊ,166,142
The Tree of LifeåÊ,584,975
Knock OffåÊ,67,141
SabotageåÊ,233,212
The OrderåÊ,112,204
Punisher: War ZoneåÊ,151,280
ZoomåÊ,63,113
The WalkåÊ,335,195
Warriors of VirtueåÊ,24,31
A Good YearåÊ,147,196
LutheråÊ            ,51,105
Radio FlyeråÊ,10,71
"Blood In, Blood OutåÊ",12,129
Smilla's Sense of SnowåÊ,50,99
Femme FataleåÊ,149,232
Lion of the DesertåÊ,24,55
The Horseman on the RoofåÊ,28,25
Ride with the DevilåÊ,95,159
BiutifulåÊ,288,127
The LoversåÊ,10,15
BandidasåÊ,58,76
Black Water TransitåÊ,,
The Maze RunneråÊ,297,524
Unfinished BusinessåÊ,90,89
The Age of InnocenceåÊ,56,150
The FountainåÊ,274,915
Chill FactoråÊ,68,94
StolenåÊ,98,86
PonyoåÊ,256,144
The Longest RideåÊ,117,116
The Astronaut's WifeåÊ,107,260
I Dreamed of AfricaåÊ,52,61
Playing for KeepsåÊ,135,50
Mandela: Long Walk to FreedomåÊ,211,108
RedsåÊ,57,127
A Few Good MenåÊ,81,319
Exit WoundsåÊ,107,232
Big Momma's HouseåÊ,100,148
Thunder and the House of MagicåÊ,60,16
The Darkest HouråÊ,195,211
Step Up RevolutionåÊ,121,72
Snakes on a PlaneåÊ,285,1033
The WatcheråÊ,103,181
The PunisheråÊ,192,622
Goal! The Dream BeginsåÊ,90,114
SafeåÊ,258,134
Pushing TinåÊ,56,175
Star Wars: Episode VI - Return of the JediåÊ,197,647
DoomsdayåÊ,254,396
The ReaderåÊ,299,370
WanderluståÊ,163,139
ElfåÊ,152,395
PhenomenonåÊ,53,118
Snow DogsåÊ,67,100
ScroogedåÊ,88,159
Nacho LibreåÊ,163,441
BridesmaidsåÊ,371,485
This Is the EndåÊ,418,669
StigmataåÊ,131,398
Men of HonoråÊ,98,224
TakersåÊ,119,132
The Big WeddingåÊ,133,108
"Big Mommas: Like Father, Like SonåÊ",88,47
Source CodeåÊ,522,571
AliveåÊ,43,112
The Number 23åÊ,224,383
The Young and Prodigious T.S. SpivetåÊ,122,28
1941åÊ,56,217
Dreamer: Inspired by a True StoryåÊ,75,108
A History of ViolenceåÊ,441,1125
Transporter 2åÊ,163,340
The Quick and the DeadåÊ,63,216
Laws of AttractionåÊ,90,102
Bringing Out the DeadåÊ,163,382
Repo MenåÊ,197,187
Dragon Wars: D-WaråÊ,93,364
BogusåÊ,15,30
The Incredible Burt WonderstoneåÊ,260,158
Cats Don't DanceåÊ,18,49
Cradle Will RockåÊ,70,161
The Good GermanåÊ,183,175
George and the DragonåÊ,12,31
Apocalypse NowåÊ,261,983
Going the DistanceåÊ,167,113
Mr. Holland's OpusåÊ,42,154
CriminalåÊ,130,100
Out of AfricaåÊ,66,200
FlightåÊ,449,491
MoonrakeråÊ,121,294
The Grand Budapest HotelåÊ,536,644
Hearts in AtlantisåÊ,135,268
ArachnophobiaåÊ,74,136
FrequencyåÊ,168,510
GhostbustersåÊ,464,1211
VacationåÊ,204,219
Get ShortyåÊ,96,150
ChicagoåÊ,223,1017
Big DaddyåÊ,112,289
American Pie 2åÊ,142,431
Toy StoryåÊ,166,391
SpeedåÊ,114,373
The VowåÊ,214,164
Extraordinary MeasuresåÊ,126,64
Remember the TitansåÊ,157,402
The Hunt for Red OctoberåÊ,104,241
Lee Daniels' The ButleråÊ,304,323
Dodgeball: A True Underdog StoryåÊ,191,392
The Addams FamilyåÊ,55,125
Ace Ventura: When Nature CallsåÊ,59,178
The Princess DiariesåÊ,108,301
The First Wives ClubåÊ,50,117
Se7enåÊ,216,1080
District 9åÊ,472,1262
The SpongeBob SquarePants MovieåÊ,89,186
Mystic RiveråÊ,229,935
Million Dollar BabyåÊ,268,1106
Analyze ThisåÊ,145,337
The NotebookåÊ,177,1111
27 DressesåÊ,175,154
Hannah Montana: The MovieåÊ,131,140
Rugrats in Paris: The MovieåÊ,41,49
The Prince of TidesåÊ,30,109
Legends of the FallåÊ,57,329
Up in the AiråÊ,391,452
About SchmidtåÊ,217,612
Warm BodiesåÊ,452,326
LooperåÊ,589,667
Down to EarthåÊ,61,122
BabeåÊ,79,182
Hope SpringsåÊ,234,178
Forgetting Sarah MarshallåÊ,253,325
Friday Night LightsåÊ            ,51,257
Four BrothersåÊ,123,340
Baby MamaåÊ,145,97
Hope FloatsåÊ,65,162
Bride WarsåÊ,152,129
Without a PaddleåÊ,94,152
13 Going on 30åÊ,119,339
Midnight in ParisåÊ,487,509
The Nut JobåÊ,121,64
BlowåÊ,147,426
Message in a BottleåÊ,85,223
Star Trek V: The Final FrontieråÊ,98,293
Like MikeåÊ,39,72
Naked Gun 33 1/3: The Final InsultåÊ,43,85
A View to a KillåÊ,108,300
The Curse of the Were-RabbitåÊ,209,307
P.S. I Love YouåÊ,131,243
Racing StripesåÊ,73,86
AtonementåÊ,316,581
Letters to JulietåÊ,159,156
Black RainåÊ,63,119
The Three StoogesåÊ,162,189
Corpse BrideåÊ,267,467
Glory RoadåÊ,95,145
SicarioåÊ,478,461
SouthpawåÊ,305,277
Drag Me to HellåÊ,397,691
The Age of AdalineåÊ,214,209
Secondhand LionsåÊ,82,292
Step Up 3DåÊ,138,86
Blue CrushåÊ,69,216
Stranger Than FictionåÊ,253,529
30 Days of NightåÊ,304,527
The Cabin in the WoodsåÊ,634,986
Meet the SpartansåÊ,111,409
Midnight RunåÊ,77,215
The Running ManåÊ,120,226
Little Shop of HorrorsåÊ,63,165
HannaåÊ,417,438
